name,type,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,CAR_mean,CAR_sigma,CAR_tau,Con,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_0,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_0,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_0,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,Gskew,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Psi_CS,Psi_eta,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC,StructureFunction_index_21,StructureFunction_index_31,StructureFunction_index_32
270304671_sector01_1_3_cleaned.lc,ACV,0.0155235,1,53,0.327411168,22.93047914,0,0.60234375,0.051694915,0.003803611,0.082048866,0.200309618,0.374503601,0.633001279,0.895301878,0.011563553,0.003709137,0.001580111,0.000976119,0,-1.52398183,-0.745965183,0.005674346,0.001872283,0.000508501,5.95E-05,6.94E-05,0,-0.91397912,-0.715236819,-2.569515412,0.001444459,0.000142887,0.000125665,3.38E-05,0,0.43568841,-0.13504691,-0.552317528,-0.014181,2.54E-06,0.107941403,13.8120308,0.000663977,0.0044415,0.432318105,-0.433333333,0.001717539,0.002150787,0.00520496,0,0.325676672,0.046862077,0.0112095,0.171592785,-0.871683161,2,-0.407651819,0.009170877,0.822272272,0.849819347,1.89676881,2.736977506,1.450662438
369220372_sector01_1_1_cleaned.lc,ACV,0.010318,1,9,0.407407407,23.01618187,0,0.63515625,0,0.052391875,0.176333022,0.303398815,0.487319405,0.725756158,0.89761979,0.007156552,0.000732101,0.000144368,2.75E-05,0,0.728966872,2.00814176,0.376353283,0.004549492,0.000134558,0.000291671,0.000130129,0,0.19933649,2.37921573,1.879315835,0.000848105,0.000279411,0.000204717,0.000154086,0,0.196361049,0.553828037,-1.53206163,0.0033675,6.20E-05,0.311056817,14.61887176,0.000419723,0.004858,0.305958132,0.033333333,0.000972633,0.001316271,0.020348782,0,0.195643381,0.121277991,0.009236,0.069667888,0.358743824,1,-0.901799161,0.00613588,0.830209685,0.674256556,1.853924435,2.59207594,1.422666529
238869272_sector01_3_2_cleaned.lc,ACV,0.01174675,1,34,0.469011725,21.10317852,0,0.6484375,0,0.003837736,0.300022012,0.498437156,0.668016729,0.818534008,0.942064715,0.011412199,0.001376182,0.000533487,0.000454386,0,1.578313172,-0.174808172,1.532775449,0.000484884,0.000126957,0.00013366,6.17E-05,0,-0.613477049,-0.473163516,0.795275066,0.000434568,3.27E-05,2.81E-05,1.54E-05,0,-0.262160023,1.892026242,0.728028852,0.004192,-1.27E-05,0.11425697,13.68409232,0.000580153,0.00735,0.14321608,-0.633333333,0.001106652,0.001660069,4.141736418,0,0.295616912,0.013289116,0.015163,0.146624232,0.194080431,1,-1.405063723,0.007938861,0.89433373,0.921641601,1.93041021,2.811883851,1.459709774
410451777_sector01_4_3_cleaned.lc,ACV,0.0072345,1,14,0.357436319,20.72614903,0,0.63515625,0.004115226,0.034934137,0.168490952,0.282034442,0.443447169,0.66002627,0.870475773,0.004635312,0.000236312,0.000137859,4.70E-05,0,-0.312911916,1.761975292,-0.66723335,0.003553006,3.81E-05,9.37E-05,7.31E-06,0,-0.963194875,-0.281144902,-0.435172348,0.000476446,6.45E-05,0.000344746,0.000178834,0,-0.798003514,0.475829355,-0.813577218,-0.003188,-1.51E-05,0.223914918,13.1643431,0.00032037,0.002931,0.343467543,-0.366666667,0.000920777,0.001040944,0.004180862,0,0.179351628,1.1195567,0.006091,0.070874857,-0.469823383,1,-0.739760488,0.004217463,0.824839252,0.779043494,1.8137525,2.529791957,1.420488398
327597288_sector01_2_1_cleaned.lc,ACV,0.0327285,1,17,0.503210273,3.387919112,0.017540426,3.466656587,0,0.006983825,0.326977579,0.544778939,0.725626653,0.85541315,0.95229248,0.031955201,0.004271329,0.000254611,0.000541031,0,-0.980426372,1.015171078,-0.553535868,0.002318119,0.001868996,0.000506066,0.001103233,0,1.436754422,1.418042336,1.043174329,0.00195694,0.000657712,0.000792254,0.000593741,0,2.022285435,0.952430026,1.440630784,-0.006971,0.000177911,0.333668679,11.74475211,0.001957518,0.022704,0.140449438,0.9,0.00325763,0.005406852,1.790298903,0,0.259358618,0.019936242,0.04609375,0.078824026,-0.121400077,1,-1.493778894,0.022990567,0.903961203,0.91039233,1.759161407,2.371896419,1.373195159
350146577_sector01_4_3_cleaned.lc,ACV,0.0516985,1,16,0.444351464,4.644719442,0.029430499,2.747883676,0,0.014054778,0.298404532,0.488679585,0.649027105,0.817091724,0.932567963,0.048182829,0.011636779,0.002066988,0.000368818,0,-0.64032079,0.670968422,1.042463292,0.002388731,0.000884648,0.000449109,0.000294199,0,-0.002860547,0.475853228,1.306010101,0.002069327,0.000782488,0.000112199,7.05E-05,0,3.022027834,1.92861436,0.516897363,-0.034189,-4.55E-05,1.044409313,12.76314874,0.002754534,0.027215,0.158995816,0.166666667,0.005829536,0.007822091,0.006970753,0,0.223741644,0.022359695,0.064886,0.051023727,-0.396793292,1,-1.33021217,0.03515653,0.896485228,0.899000009,1.8381675,2.571467144,1.406605131
348898673_sector01_4_3_cleaned.lc,ACV,0.0107495,1,31,0.361158433,22.14185759,0,0.63515625,0.017064846,0.026220291,0.07309927,0.161344788,0.322242638,0.576699608,0.848636838,0.006351131,0.004324747,0.001010233,0.000430287,0,-0.10674949,0.891376905,0.460272293,0.001854577,0.000620627,0.000368465,0.000221965,0,0.56551243,1.014128994,1.380758876,0.003983963,0.001498909,0.001121072,0.001059134,0,0.562163616,1.007978055,1.375149883,0.0017075,-3.46E-05,0.201303056,14.06353923,0.000408948,0.0031815,0.471039182,0.3,0.000940577,0.001431841,0.010394985,0,0.213218668,0.107601736,0.006542,0.11781588,0.239095422,1,-0.377737812,0.005751259,0.761340875,0.804143072,1.877603042,2.703992618,1.454812933
355650641_sector01_2_2_cleaned.lc,ACV,0.015419,1,12,0.499205087,8.224952487,0.013188076,1.410534909,0,0.015625575,0.303029302,0.533778204,0.724356645,0.865217535,0.960457203,0.015035948,0.002439399,0.000768107,0.000471182,0,0.829812102,0.560494387,-0.964225703,0.000717504,6.83E-05,8.47E-05,4.87E-05,0,-2.387917063,-0.110720782,-1.200630539,0.000500845,4.58E-05,1.54E-05,3.33E-05,0,1.495634067,0.358226174,-0.560647471,0.002541,2.86E-05,0.203890007,11.6015826,0.000940743,0.010779,0.147853736,0.9,0.001506106,0.002609468,1.278813134,0,0.232225842,0.017490878,0.021916,0.036234421,0.07229097,1,-1.49790245,0.01091411,0.900081651,0.632195889,1.730279811,2.325692602,1.376002241
309148260_sector01_4_3_cleaned.lc,ACV,0.0167185,1,79,0.306122449,22.59506818,0,0.63515625,0.010666667,0.008556787,0.14632013,0.33765463,0.539953767,0.742752718,0.901037111,0.013810201,0.005903572,0.000252102,0.001073155,0,-0.479906475,-1.482071199,-1.408806669,0.003190051,0.001618333,0.000444606,0.000641039,0,-0.71321714,0.335831146,0.644210456,0.001248164,0.000166952,0.000102055,8.26E-05,0,0.717180544,-0.082225917,1.173666987,-0.021531,-0.000200878,0.184512336,14.35139877,0.000760794,0.004693,0.417923691,0.233333333,0.002039001,0.002229708,0.002315192,0,0.218897849,0.140438197,0.017307,0.256555434,-0.80120319,3,-0.856487223,0.010918458,0.875080482,0.877231474,1.952490597,2.870382413,1.480612012
358467700_sector01_4_3_cleaned.lc,ACV,0.0234565,1,12,0.388083736,21.66972605,0,0.631054687,0,0.019876874,0.090227432,0.175666825,0.381597669,0.672087088,0.895769813,0.013424245,0.01229748,0.001494409,0.000123585,0,2.271501516,2.152579831,0.072796389,0.002410144,5.46E-05,0.0006615,0.000483211,0,-1.239382271,-0.334849715,0.633201821,0.00122736,5.34E-05,4.53E-05,4.69E-05,0,0.568510805,-0.744590592,-0.683317525,-0.000672,0.000171348,0.53559452,13.6747822,0.000966404,0.008494,0.42431562,-0.566666667,0.001967083,0.00323779,0.005222281,0,0.203793092,0.082994859,0.016761,0.102347819,-0.007093454,1,-0.700140586,0.013215367,0.783157899,0.825709161,1.80648488,2.47469947,1.403147654
