name,type,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,CAR_mean,CAR_sigma,CAR_tau,Con,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_0,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_0,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_0,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,Gskew,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Psi_CS,Psi_eta,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC,StructureFunction_index_21,StructureFunction_index_31,StructureFunction_index_32
259864461_sector01_3_4_cleaned.lc,EW,0.1134785,1,2,0.393063584,28.81531105,0,0.63515625,0,1.144860253,0.232567274,0.406726891,0.577452173,0.716765498,0.855690843,0.09104879,0.01351462,0.00441881,0.000579461,0,0.774211387,1.274459518,1.622572125,0.023005395,0.006470532,0.003440849,0.002388469,0,-0.789262635,-1.550125789,-2.25000275,0.069678672,0.01930266,0.010177534,0.007192414,0,-0.78422045,-1.582595422,0.753683163,0.044321,-3.71E-06,7.255107941,18.30222491,0.003738248,0.055796,0.218001652,-0.033333333,0.008954131,0.011413821,0.009643245,0,0.253392197,0.120489287,0.1203275,0.02723885,0.292977505,1,-1.123596581,0.06841826,0.871281141,0.827087205,1.825640527,2.497937287,1.384394189
441202415_sector01_1_3_cleaned.lc,EW,0.04868225,1,2,0.430992736,27.0154511,0,0.63515625,0,1.189436127,0.233541316,0.440985297,0.635993706,0.790266399,0.914719766,0.043254635,0.006724342,0.002090288,0.000467379,0,1.428698772,-0.296496477,-1.287981856,0.003223124,0.000873,0.000715929,0.000473158,0,2.594178938,2.506464187,2.618286189,0.002320263,0.00026913,0.000428172,0.000464371,0,0.603568484,1.362492808,0.625233632,0.026804,-9.43E-05,3.581920092,17.15903261,0.001839933,0.026073,0.228410008,0.033333333,0.004272381,0.005372614,0.024957501,0,0.217014281,0.083277926,0.058604,0.029576888,0.34843285,2,-1.23737312,0.031571477,0.876392137,0.833533391,1.810092616,2.495060412,1.391429679
231702259_sector01_2_1_cleaned.lc,EW,0.2360605,1,2,0.242374279,453.6747864,1.012181962,0.039500293,0,0.89803508,0.212167541,0.378929621,0.573024778,0.763236057,0.909418069,0.201245123,0.05954048,0.021155809,0.004165953,0,-0.424793531,-0.499646738,-0.988817828,0.022660208,0.007362112,0.003166643,0.000209127,0,-0.828537761,-1.016939854,-1.966576495,0.021992608,0.013758295,0.004249648,0.005458592,0,-0.165417313,-0.104775939,-0.450678641,0.26166,-0.000157327,11.99869892,17.92028701,0.008465721,0.093536,0.239076669,-0.033333333,0.021973904,0.024934359,0.011123435,0,0.240458293,0.063541187,0.25509,0.012555526,0.697227198,2,-0.890280154,0.151708142,0.865456277,0.569721261,1.73296211,2.314769354,1.350173688
403152654_sector01_2_1_cleaned.lc,EW,0.1839295,1,3,0.387044534,70.98067982,0.375521571,0.210987758,0,0.202306332,0.246638341,0.440116878,0.635297771,0.813460751,0.949821436,0.169175125,0.03045485,0.008831703,0.001904926,0,0.735872368,1.693639106,-0.771411179,0.018836527,0.003440819,0.00161392,0.000116678,0,1.065603697,-0.53235908,1.574589986,0.014060382,0.005399126,0.00122488,0.000443077,0,-0.972098048,0.776018043,0.73910965,0.1291055,0.000209628,4.076619121,14.97605452,0.008204592,0.100661,0.182995951,-0.033333333,0.017689086,0.023696701,0.010100693,0,0.222636821,0.014134406,0.2245495,0.013654938,0.417269875,1,-1.228902835,0.122872424,0.877493347,0.423742965,1.826731066,2.587679341,1.42704322
350444607_sector01_4_4_cleaned.lc,EW,0.1287265,1,2,0.405106383,337.8423982,0.468138007,0.051389193,0,0.679875751,0.263827429,0.46997957,0.660106203,0.799559143,0.908085955,0.113481763,0.014779806,0.003184092,0.003715172,0,0.613299794,1.696974873,0.957029691,0.010399845,0.002462746,0.001081741,0.002741033,0,0.942350247,0.640198972,0.477623647,0.097300914,0.02487627,0.011471846,0.006788281,0,-0.271994711,-0.539582514,-0.800146972,0.0544785,0.000173241,11.24238628,17.36144818,0.004892789,0.073029,0.256170213,-0.1,0.015668758,0.013939123,0.005352564,0,0.230342724,0.167690478,0.1596055,0.034831261,0.321231689,1,-1.119589184,0.084945903,0.871041965,0.537330821,1.625045322,2.057496464,1.299174228
70440978_sector01_1_2_cleaned.lc,EW,0.2245565,1,2,0.296758105,383.3496734,0.988432094,0.045023145,0,0.843151727,0.253199483,0.428198149,0.649524632,0.830259741,0.94667567,0.207692754,0.051215146,0.012059324,0.005287715,0,0.984309093,1.415498705,-0.510059465,0.014887729,0.001329037,0.004727986,0.004495345,0,0.628046242,1.207677861,-0.762431714,0.004424556,0.001058206,0.001728837,0.002047377,0,-0.033308015,1.248656727,2.56663482,0.17967,0.000194769,15.11315512,17.25960794,0.008839101,0.109296,0.215295096,-0.1,0.02219377,0.025035834,0.16646817,0,0.237514797,0.032771781,0.278017,0.012829996,0.492435799,2,-1.210698233,0.152559414,0.879014888,0.419940195,1.641455879,2.073937421,1.300031696
441109166_sector01_1_3_cleaned.lc,EW,0.069875,1,2,0.387317909,29.03288737,0,0.63515625,0,1.045465982,0.222595634,0.420561854,0.560528247,0.704873027,0.854613874,0.053550036,0.004835648,0.003158551,0.001132749,0,-0.213902433,-0.663239792,-0.676421469,0.00805446,0.001792924,0.001079857,0.000708558,0,1.512467011,1.144528863,0.395998111,0.008445927,0.000333179,0.000379968,0.000930008,0,1.045683872,1.303298859,1.157267129,0.017722,-7.58E-05,4.741952583,18.44041987,0.002236853,0.034391,0.259640103,-0.1,0.005675313,0.006875366,0.018266609,0,0.209739263,0.270651444,0.0708715,0.024970608,0.221331963,1,-1.058297471,0.041248512,0.866057576,0.652872845,1.811153848,2.491970039,1.396558357
263014365_sector01_3_3_cleaned.lc,EW,0.06963025,1,2,0.44,28.09450893,0,0.63515625,0,0.58921281,0.259363931,0.453176577,0.639648805,0.803873691,0.926580752,0.062776177,0.00718669,0.003167356,0.001245211,0,-0.039932323,-2.957650352,-2.3338697,0.003827098,0.000673308,0.000198607,0.000101911,0,0.243617859,-1.673017392,0.724683884,0.002817868,0.000225851,0.000623411,0.000746596,0,-0.719162499,1.273031082,1.166305345,0.032443,2.35E-05,4.940979209,17.84440294,0.002553184,0.0399835,0.194166667,-0.033333333,0.005589867,0.007438804,0.011004336,0,0.225359349,0.065328338,0.0845635,0.013600094,0.284992638,1,-1.280893657,0.045560045,0.880384704,0.886079014,1.714207465,2.24013319,1.327034784
177022889_sector01_4_3_cleaned.lc,EW,0.08497625,1,2,0.321226796,28.30629794,0,0.63515625,0,1.235043555,0.233916028,0.423448592,0.61503153,0.781186119,0.917644362,0.075216553,0.019025264,0.00482924,0.001481099,0,-0.73427785,-1.533223616,-2.313379011,0.004651414,0.000665253,0.000204903,0.000183409,0,2.59712653,2.487410571,2.436710842,0.00282173,0.001444787,0.000146349,0.000674372,0,-0.128852801,0.271937716,0.20892942,0.0687085,6.94E-06,5.803392444,17.97892205,0.003098193,0.038152,0.252623083,0.033333333,0.007656117,0.008987737,0.017936548,0,0.218874612,0.056593492,0.0991075,0.015674057,0.512124823,1,-1.128596348,0.055702172,0.873175442,0.620547392,1.786573145,2.429206882,1.376324255
167794073_sector01_4_3_cleaned.lc,EW,0.0976575,1,2,0.350420168,29.35613364,0,0.63515625,0,1.250764431,0.219087893,0.379323619,0.532154705,0.682970461,0.851375067,0.073020336,0.012698231,0.003362322,0.001345627,0,0.660582954,1.780705414,-0.798317803,0.013663201,0.000923935,0.003645076,0.000200334,0,2.393202444,2.1080636,0.420069823,0.009276697,0.000839644,0.000930785,0.00063333,0,-1.369967666,0.93431528,-1.665296713,0.0462135,-0.000286049,9.831129635,18.64573176,0.003057249,0.0437825,0.333613445,0.033333333,0.008382692,0.009478134,0.007338649,0,0.207269277,0.29212846,0.09416275,0.045355986,0.369596416,3,-0.814630989,0.057004639,0.857718809,0.815021268,1.78964742,2.465113267,1.392059241
